transaction_id,order_id,utr,customer_name,payment_method,gross_amount,expected_settlement,actual_bank_credit,settlement_date,bank_date,status
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,Rohit Verma,UPI,39841.81,38901.54,38901.54,2026-03-01 09:00:00,2026-03-02 09:00:00,MATCHED
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,Karan Singhania,NetBanking,3010.18,2939.14,2939.14,2026-03-01 09:45:00,2026-03-02 09:45:00,MATCHED
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,Nikhil Chopra,Debit Card,2917.08,2848.24,2848.24,2026-03-01 10:30:00,2026-03-02 10:30:00,MATCHED
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,Aditya Joshi,Debit Card,12857.16,12553.73,12553.73,2026-03-01 11:15:00,2026-03-02 11:15:00,MATCHED
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,Rohit Verma,Debit Card,9478.16,9254.48,9254.48,2026-03-01 12:00:00,2026-03-02 12:00:00,MATCHED
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,Ananya Rao,Wallet,11260.12,10994.38,10994.38,2026-03-01 12:45:00,2026-03-02 12:45:00,MATCHED
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,Aditya Joshi,Credit Card,981.55,958.39,958.39,2026-03-01 13:30:00,2026-03-02 13:30:00,MATCHED
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,Manish Tiwari,Wallet,29637.72,28938.27,28938.27,2026-03-01 14:15:00,2026-03-02 14:15:00,MATCHED
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,Priya Patel,Debit Card,35661.41,34819.8,34819.8,2026-03-01 15:00:00,2026-03-02 15:00:00,MATCHED
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,Ishaan Khatter,Credit Card,15278.95,14918.37,14918.37,2026-03-01 15:45:00,2026-03-03 15:45:00,MATCHED
TXN_RZP_100010,ORD_INV_200010,UTR_HDFC_800010,Rohit Verma,Debit Card,30662.24,29938.62,29938.62,2026-03-01 16:30:00,2026-03-02 16:30:00,EXCEPTION
TXN_RZP_100011,ORD_INV_200011,UTR_HDFC_800011,Manish Tiwari,NetBanking,33615.47,32822.14,32822.14,2026-03-01 17:15:00,2026-03-02 17:15:00,EXCEPTION
TXN_RZP_100012,ORD_INV_200012,UTR_HDFC_800012,Tanvi Deshmukh,UPI,6963.83,6799.48,6799.48,2026-03-01 18:00:00,2026-03-02 18:00:00,EXCEPTION
TXN_RZP_100013,ORD_INV_200013,UTR_HDFC_800013,Ananya Rao,Credit Card,5771.58,5635.37,5635.37,2026-03-01 18:45:00,2026-03-02 18:45:00,EXCEPTION
TXN_RZP_100014,ORD_INV_200014,UTR_HDFC_800014,Aarav Sharma,NetBanking,30564.74,29843.42,29843.42,2026-03-01 19:30:00,2026-03-02 19:30:00,MATCHED
TXN_RZP_100015,ORD_INV_200015,UTR_HDFC_800015,Neha Gupta,Wallet,6043.83,5901.19,5901.19,2026-03-01 20:15:00,2026-03-02 20:15:00,MATCHED
TXN_RZP_100016,ORD_INV_200016,UTR_HDFC_800016,Nikhil Chopra,Wallet,13754.24,13429.65,13429.65,2026-03-01 21:00:00,2026-03-02 21:00:00,MATCHED
TXN_RZP_100017,ORD_INV_200017,UTR_HDFC_800017,Pooja Mehta,Debit Card,39736.48,38798.7,38798.7,2026-03-01 21:45:00,2026-03-02 21:45:00,MATCHED
TXN_RZP_100018,ORD_INV_200018,UTR_HDFC_800018,Siddharth Nair,NetBanking,33897.91,33097.92,33097.92,2026-03-01 22:30:00,2026-03-02 22:30:00,MATCHED
TXN_RZP_100019,ORD_INV_200019,UTR_HDFC_800019,Sneha Kulkarni,UPI,33387.96,32600.0,32600.0,2026-03-01 23:15:00,2026-03-02 23:15:00,MATCHED
TXN_RZP_100020,ORD_INV_200020,UTR_HDFC_800020,Varun Dhawan,NetBanking,12360.23,12068.53,12068.53,2026-03-02 00:00:00,2026-03-03 00:00:00,MATCHED
TXN_RZP_100021,ORD_INV_200021,UTR_HDFC_800021,Siddharth Nair,UPI,43873.38,42837.97,42837.97,2026-03-02 00:45:00,2026-03-03 00:45:00,MATCHED
TXN_RZP_100022,ORD_INV_200022,UTR_HDFC_800022,Rahul Dravid,UPI,18737.65,18295.44,18295.44,2026-03-02 01:30:00,2026-03-05 01:30:00,MATCHED
TXN_RZP_100023,ORD_INV_200023,UTR_HDFC_800023,Varun Dhawan,Debit Card,22112.24,21590.4,21590.4,2026-03-02 02:15:00,2026-03-03 02:15:00,MATCHED
TXN_RZP_100024,ORD_INV_200024,UTR_HDFC_800024,Priya Patel,UPI,27339.04,26693.84,26693.84,2026-03-02 03:00:00,2026-03-03 03:00:00,MATCHED
TXN_RZP_100025,ORD_INV_200025,UTR_HDFC_800025,Ananya Rao,UPI,15484.67,15119.24,15119.24,2026-03-02 03:45:00,2026-03-03 03:45:00,MATCHED
TXN_RZP_100026,ORD_INV_200026,UTR_HDFC_800026,Vikram Malhotra,Credit Card,32213.48,31453.24,31453.24,2026-03-02 04:30:00,2026-03-03 04:30:00,MATCHED
TXN_RZP_100027,ORD_INV_200027,UTR_HDFC_800027,Rhea Kapoor,UPI,635.5,620.5,620.5,2026-03-02 05:15:00,2026-03-03 05:15:00,MATCHED
TXN_RZP_100028,ORD_INV_200028,UTR_HDFC_800028,Neha Gupta,Credit Card,44168.75,43126.36,43126.36,2026-03-02 06:00:00,2026-03-03 06:00:00,MATCHED
TXN_RZP_100029,ORD_INV_200029,UTR_HDFC_800029,Siddharth Nair,Credit Card,32944.43,32166.94,32166.94,2026-03-02 06:45:00,2026-03-03 06:45:00,MATCHED
