invoice_id,order_id,customer_name,gross_order_value,created_at,merchant_id,tax_amount,net_receivable,status
INV_2026_300000,ORD_INV_200000,Manish Tiwari,37382.92,2026-03-01 09:00:00,MID_RAZORPAY_8839,6728.93,36500.68,INVOICED
INV_2026_300001,ORD_INV_200001,Rahul Dravid,31809.13,2026-03-01 09:45:00,MID_RAZORPAY_8839,5725.64,31058.44,INVOICED
INV_2026_300002,ORD_INV_200002,Priya Patel,44340.14,2026-03-01 10:30:00,MID_RAZORPAY_8839,7981.23,43293.72,INVOICED
INV_2026_300003,ORD_INV_200003,Sneha Kulkarni,12761.52,2026-03-01 11:15:00,MID_RAZORPAY_8839,2297.07,12460.35,INVOICED
INV_2026_300004,ORD_INV_200004,Neha Gupta,16212.84,2026-03-01 12:00:00,MID_RAZORPAY_8839,2918.31,15830.21,INVOICED
INV_2026_300005,ORD_INV_200005,Aditya Joshi,24199.35,2026-03-01 12:45:00,MID_RAZORPAY_8839,4355.88,23628.24,INVOICED
INV_2026_300006,ORD_INV_200006,Sneha Kulkarni,17292.69,2026-03-01 13:30:00,MID_RAZORPAY_8839,3112.68,16884.59,INVOICED
INV_2026_300007,ORD_INV_200007,Nikhil Chopra,37983.34,2026-03-01 14:15:00,MID_RAZORPAY_8839,6837.0,37086.93,INVOICED
INV_2026_300008,ORD_INV_200008,Priya Patel,36295.3,2026-03-01 15:00:00,MID_RAZORPAY_8839,6533.15,35438.73,INVOICED
INV_2026_300009,ORD_INV_200009,Manish Tiwari,9770.38,2026-03-01 15:45:00,MID_RAZORPAY_8839,1758.67,9539.8,INVOICED
INV_2026_300010,ORD_INV_200010,Meera Nambiar,29615.34,2026-03-01 16:30:00,MID_RAZORPAY_8839,5330.76,28916.41,INVOICED
INV_2026_300011,ORD_INV_200011,Manish Tiwari,12176.9,2026-03-01 17:15:00,MID_RAZORPAY_8839,2191.84,11889.52,INVOICED
INV_2026_300012,ORD_INV_200012,Sneha Kulkarni,33704.17,2026-03-01 18:00:00,MID_RAZORPAY_8839,6066.75,32908.76,INVOICED
INV_2026_300013,ORD_INV_200013,Rhea Kapoor,16513.14,2026-03-01 18:45:00,MID_RAZORPAY_8839,2972.37,16123.43,INVOICED
INV_2026_300014,ORD_INV_200014,Rohit Verma,4409.11,2026-03-01 19:30:00,MID_RAZORPAY_8839,793.64,4305.06,INVOICED
INV_2026_300015,ORD_INV_200015,Priya Patel,28365.47,2026-03-01 20:15:00,MID_RAZORPAY_8839,5105.78,27696.04,INVOICED
INV_2026_300016,ORD_INV_200016,Rhea Kapoor,17529.86,2026-03-01 21:00:00,MID_RAZORPAY_8839,3155.37,17116.15,INVOICED
INV_2026_300017,ORD_INV_200017,Rahul Dravid,43708.65,2026-03-01 21:45:00,MID_RAZORPAY_8839,7867.56,42677.13,INVOICED
INV_2026_300018,ORD_INV_200018,Aarav Sharma,34667.93,2026-03-01 22:30:00,MID_RAZORPAY_8839,6240.23,33849.77,INVOICED
INV_2026_300019,ORD_INV_200019,Karan Singhania,19762.27,2026-03-01 23:15:00,MID_RAZORPAY_8839,3557.21,19295.87,INVOICED
INV_2026_300020,ORD_INV_200020,Varun Dhawan,43744.8,2026-03-02 00:00:00,MID_RAZORPAY_8839,7874.06,42712.42,INVOICED
INV_2026_300021,ORD_INV_200021,Deepika Sen,39218.65,2026-03-02 00:45:00,MID_RAZORPAY_8839,7059.36,38293.09,INVOICED
INV_2026_300022,ORD_INV_200022,Pooja Mehta,7174.27,2026-03-02 01:30:00,MID_RAZORPAY_8839,1291.37,7004.95,INVOICED
INV_2026_300023,ORD_INV_200023,Deepika Sen,27092.88,2026-03-02 02:15:00,MID_RAZORPAY_8839,4876.72,26453.49,INVOICED
INV_2026_300024,ORD_INV_200024,Ishaan Khatter,41834.25,2026-03-02 03:00:00,MID_RAZORPAY_8839,7530.17,40846.96,INVOICED
