transaction_id,order_id,utr,customer_name,payment_method,gross_amount,expected_settlement,actual_bank_credit,settlement_date,bank_date,status
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,Manish Tiwari,UPI,37382.92,36500.68,36500.68,2026-03-01 09:00:00,2026-03-02 09:00:00,MATCHED
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,Rahul Dravid,Debit Card,31809.13,31058.44,31058.44,2026-03-01 09:45:00,2026-03-02 09:45:00,MATCHED
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,Priya Patel,Credit Card,44340.14,43293.72,43293.72,2026-03-01 10:30:00,2026-03-02 10:30:00,MATCHED
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,Sneha Kulkarni,UPI,12761.52,12460.35,12460.35,2026-03-01 11:15:00,2026-03-02 11:15:00,MATCHED
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,Neha Gupta,Credit Card,16212.84,15830.21,15830.21,2026-03-01 12:00:00,2026-03-02 12:00:00,MATCHED
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,Aditya Joshi,UPI,24199.35,23628.24,23628.24,2026-03-01 12:45:00,2026-03-02 12:45:00,MATCHED
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,Sneha Kulkarni,Credit Card,17292.69,16884.59,16884.59,2026-03-01 13:30:00,2026-03-02 13:30:00,MATCHED
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,Nikhil Chopra,Credit Card,37983.34,37086.93,37086.93,2026-03-01 14:15:00,2026-03-02 14:15:00,MATCHED
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,Priya Patel,Credit Card,36295.3,35438.73,35438.73,2026-03-01 15:00:00,2026-03-02 15:00:00,MATCHED
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,Manish Tiwari,Debit Card,9770.38,9539.8,9539.8,2026-03-01 15:45:00,2026-03-02 15:45:00,MATCHED
